,mes,escopo_autuacao,uf,descricao_infracao,amparo_legal,quantidade_autos
114,FEVEREIRO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",249
115,FEVEREIRO,Excesso de Peso,SC,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1605
116,FEVEREIRO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - PBT/PBTC,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",97
117,FEVEREIRO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - PBT/PBTC e Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",95
118,FEVEREIRO,Excesso de Peso,SP,Transitar com o veículo com excesso de peso - Por Eixo,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1386
119,JANEIRO,Cmt - Capacidade Máxima de Tração,ES,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1
120,JANEIRO,Cmt - Capacidade Máxima de Tração,MG,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",3
121,JANEIRO,Cmt - Capacidade Máxima de Tração,MG,Transitar com o veículo excedendo a CMT em até 600 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",2
122,JANEIRO,Cmt - Capacidade Máxima de Tração,MS,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",2
123,JANEIRO,Cmt - Capacidade Máxima de Tração,RJ,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",9
124,JANEIRO,Cmt - Capacidade Máxima de Tração,RJ,Transitar com o veículo excedendo a CMT em até 600 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",12
125,JANEIRO,Cmt - Capacidade Máxima de Tração,RJ,Transitar com o veículo excedendo a CMT entre 601 e 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",8
126,JANEIRO,Cmt - Capacidade Máxima de Tração,SC,Transitar com o veículo excedendo a CMT acima de 1000 kg,"Lei 9503/97 Lei 10561/02 Res. CONTRAN nº 210/06, 211/06 e 258/07 e alterações Portaria DENATRAN 63/09 e 59/07 e alterações ",1
127,JANEIRO,Evasão de Balança,ES,Art. 209 Deixar de adentrar as áreas destinadas à pesagem de veículos,"Lei 9503 DE 23/09/1997 Transpor, sem autorização, bloqueio viário com ou sem sinalização ou dispositivos auxiliares, deixar de adentrar às áreas destinadas à pesagem de veículos ou evadir-se para não efetuar o pagamento do pedágio.",448
